Era Uma Vez no Oeste;Sergio Leone;drama;1968;Claudia Cardinale
Um Estranho no Ninho;Miloš Forman;drama;1975;Louise Fletcher
Easy Rider - Sem Destino;Dennis Hopper;drama;1969;Peter Fonda
Interestelar;Christopher Nolan;Aventura, Drama, Ficção Científica;2014;Jessica Chastain
A Espera de um Milagre;Frank Darabont;Drama, Fantasia, Mistério;1999;Michael Clarke Duncan
O Artista;Michel Hazanavicius;drama;2011;John Goodman
Chicago;Rob Marshall;drama;2002;Renée Zellweger
Os Infiltrados;Martin Scorsese;drama;2006;Leonardo DiCaprio
Monty Python em Busca do Cálice Sagrado;Terry Gilliam, Terry Jones;Aventura, Comédia, Fantasia;1975;Graham Chapman
Tudo em Todo o Lugar ao Mesmo Tempo;Daniel Kwan e Daniel Scheinert;drama;2022;Stephanie Hsu
Beleza Americana;Sam Mendes;drama;1999;Thora Birch
Toy Story;John Lasseter;Animação, Aventura, Comédia;1995;Jim Varney
O Paciente Inglês;Anthony Minghella;drama;1996;Juliette Binoche
Scarface;Brian De Palma;Crime, Drama, Suspense;1983;Al Pacino
O Mágico de Oz;Victor Fleming;Aventura, Família, Fantasia;1939;Judy Garland
A Origem;Christopher Nolan;Ação, Aventura, Ficção Científica;2010;Elliot Page
Apocalypse Now;Francis Ford Coppola;Drama, Guerra;1979;Robert Duvall
Operação França;William Friedkin;drama;1971;Fernando Rey
Beleza Americana;Sam Mendes;Drama;1999;Thora Birch
Toy Story;John Lasseter;Animação, Aventura, Comédia;1995;Tim Allen
O Senhor dos Anéis: O Retorno do Rei;Peter Jackson;drama;2003;Liv Tyler
Bonnie e Clyde - Uma Rajada de Balas;Arthur Penn;drama;1967;Faye Dunaway
O Estranho Mundo de Jack;Henry Selick;Animação, Fantasia, Musical;1993;William Hickey
Indiana Jones e os Caçadores da Arca Perdida;Steven Spielberg;Ação, Aventura;1981;Harrison Ford
Bons Companheiros;Martin Scorsese;Biografia, Crime, Drama;1990;Lorraine Bracco
Menina de Ouro;Clint Eastwood;drama;2004;Morgan Freeman
O Rei Leão;Roger Allers, Rob Minkoff;Animação, Aventura, Drama;1994;Jeremy Irons
O Grande Hotel Budapeste;Wes Anderson;Aventura, Comédia, Drama;2014;Willem Dafoe
Pulp Fiction: Tempo de Violência;Quentin Tarantino;Crime, Drama;1994;Uma Thurman
O Poderoso Chefão II;Francis Ford Coppola;Crime, Drama;1974;Robert Duvall
De Volta para o Futuro;Robert Zemeckis;Aventura, Comédia, Ficção Científica;1985;Christopher Lloyd
Jurassic Park: O Parque dos Dinossauros;Steven Spielberg;Aventura, Ficção Científica;1993;Jeff Goldblum
Gladiador;Ridley Scott;Ação, Aventura, Drama;2000;Joaquin Phoenix
Seven: Os Sete Crimes Capitais;David Fincher;Crime, Drama, Mistério;1995;Kevin Spacey
O Resgate do Soldado Ryan;Steven Spielberg;Ação, Drama, Guerra;1998;Tom Sizemore
O Bom, o Mau e o Feio;Sergio Leone;drama;1966;Eli Wallach
Cidadão Kane;Orson Welles;Drama, Mistério;1941;Agnes Moorehead
Spotlight: Segredos Revelados;Tom McCarthy;drama;2015;Mark Ruffalo
Gladiador;Ridley Scott;Ação, Aventura, Drama;2000;Russell Crowe
Princesa Mononoke;Hayao Miyazaki;Animação, Aventura, Fantasia;1997;Yōji Matsuda
O Profissional;Luc Besson;Ação, Crime, Drama;1994;Gary Oldman
Moonlight: Sob a Luz do Luar;Barry Jenkins;drama;2016;Trevante Rhodes
Gladiador;Ridley Scott;drama;2000;Russell Crowe
O Grande Hotel Budapeste;Wes Anderson;Aventura, Comédia, Drama;2014;Adrien Brody
Pânico;Wes Craven;Terror, Mistério;1996;Skeet Ulrich
Edward Mãos de Tesoura;Tim Burton;Drama, Fantasia, Romance;1990;Johnny Depp
Persona;Ingmar Bergman;drama;1966;Bibi Andersson
Jurassic Park: O Parque dos Dinossauros;Steven Spielberg;Aventura, Ficção Científica;1993;Laura Dern
Psicose;Alfred Hitchcock;Terror, Suspense;1960;Janet Leigh
A Lista de Schindler;Steven Spielberg;Biografia, Drama, História;1993;Ben Kingsley
Green Book: O Guia;Peter Farrelly;drama;2018;Viggo Mortensen
O Senhor dos Anéis: A Sociedade do Anel;Peter Jackson;Aventura, Drama, Fantasia;2001;Sean Astin
Forrest Gump: O Contador de Histórias;Robert Zemeckis;drama;1994;Sally Field
E.T. - O Extraterrestre;Steven Spielberg;Aventura, Família, Ficção Científica;1982;Henry Thomas
Casablanca;Michael Curtiz;Drama, Romance, Guerra;1942;Paul Henreid
Lawrence da Arábia;David Lean;drama;1962;Omar Sharif
A Viagem de Chihiro;Hayao Miyazaki;Animação, Aventura, Família;2001;Rumi Hiiragi
O Poderoso Chefão;Francis Ford Coppola;drama;1972;Marlon Brando
Crash: No Limite;Paul Haggis;drama;2005;Matt Dillon
Birdman ou (A Inesperada Virtude da Ignorância);Alejandro G. Iñárritu;drama;2014;Emma Stone
O Grande Lebowski;Joel Coen, Ethan Coen;Comédia, Crime;1998;John Goodman
A Doce Vida;Federico Fellini;drama;1960;Anouk Aimée
Interestelar;Christopher Nolan;Aventura, Drama, Ficção Científica;2014;Anne Hathaway
Intocáveis;Olivier Nakache, Éric Toledano;Biografia, Comédia, Drama;2011;Anne Le Ny
Clube da Luta;David Fincher;Drama;1999;Meat Loaf
Nomadland;Chloé Zhao;drama;2020;Frances McDormand
Monty Python em Busca do Cálice Sagrado;Terry Gilliam, Terry Jones;Aventura, Comédia, Fantasia;1975;John Cleese
Edward Mãos de Tesoura;Tim Burton;Drama, Fantasia, Romance;1990;Winona Ryder
A Forma da Água;Guillermo del Toro;drama;2017;Octavia Spencer
Beleza Americana;Sam Mendes;drama;1999;Kevin Spacey
E.T. - O Extraterrestre;Steven Spielberg;Aventura, Família, Ficção Científica;1982;Drew Barrymore
Argo;Ben Affleck;drama;2012;Alan Arkin
O Silêncio dos Inocentes;Jonathan Demme;Crime, Drama, Terror;1991;Anthony Hopkins
Forrest Gump: O Contador de Histórias;Robert Zemeckis;Drama, Romance;1994;Tom Hanks
Birdman ou (A Inesperada Virtude da Ignorância);Alejandro G. Iñárritu;drama;2014;Michael Keaton
A Vida é Bela;Roberto Benigni;Comédia, Drama, Guerra;1997;Giustino Durano
O Silêncio dos Inocentes;Jonathan Demme;Crime, Drama, Terror;1991;Scott Glenn
Monty Python em Busca do Cálice Sagrado;Terry Gilliam, Terry Jones;Aventura, Comédia, Fantasia;1975;Terry Gilliam
Tempos Modernos;Charles Chaplin;Comédia, Drama, Romance;1936;Tiny Sandford
O Senhor dos Anéis: As Duas Torres;Peter Jackson;Aventura, Drama, Fantasia;2002;Ian McKellen
Princesa Mononoke;Hayao Miyazaki;Animação, Aventura, Fantasia;1997;Kaoru Kobayashi
Os Infiltrados;Martin Scorsese;Crime, Drama, Suspense;2006;Matt Damon
A Doce Vida;Federico Fellini;drama;1960;Anita Ekberg
Psicose;Alfred Hitchcock;drama;1960;Anthony Perkins
